"Week","State","Total Individual Population age 18+","Total Delayed Medical Care","Delayed Medical Care Percent"
"2","Alabama","3717378","1285796","38.5"
"2","Alaska","524925","219327","45"
"2","Arizona","5597268","2443232","46.6"
"2","Arkansas","2246527","854618","40.8"
"2","California","29939021","10220834","38.3"
"2","Colorado","4454718","1777385","41.6"
"2","Connecticut","2732423","1038311","40.5"
"2","Delaware","754637","261994","37"
"2","District of Columbia","542635","202920","42.1"
"2","Florida","17085385","6061299","38.5"
"2","Georgia","7955983","3285465","45.1"
"2","Hawaii","1073229","407173","41"
"2","Idaho","1343198","447594","36.5"
"2","Illinois","9546424","3648553","41.4"
"2","Indiana","5015550","2101235","44.9"
"2","Iowa","2342905","801783","36.7"
"2","Kansas","2140957","772358","38.2"
"2","Kentucky","3344102","1215213","40.6"
"2","Louisiana","3431432","1340157","45.2"
"2","Maine","1065620","444468","46.8"
"2","Maryland","4586920","1664401","40.5"
"2","Massachusetts","5324065","1777317","37.2"
"2","Michigan","7644458","2815894","40.5"
"2","Minnesota","4241624","1637720","43.3"
"2","Mississippi","2189670","822407","39.6"
"2","Missouri","4617880","1547276","36.4"
"2","Montana","822204","346155","45.8"
"2","Nebraska","1418191","589422","45.1"
"2","Nevada","2399457","916498","43"
"2","New Hampshire","1073014","416199","40.9"
"2","New Jersey","6776822","2606712","43.7"
"2","New Mexico","1589574","592722","40.3"
"2","New York","14847080","5786240","43"
"2","North Carolina","8017566","3061484","41.3"
"2","North Dakota","561016","220984","42.6"
"2","Ohio","8822539","3321536","41.5"
"2","Oklahoma","2916436","989868","36.2"
"2","Oregon","3302727","1635361","52.6"
"2","Pennsylvania","9776154","3939523","43.2"
"2","Rhode Island","817559","327593","43.2"
"2","South Carolina","3969123","1554542","42.1"
"2","South Dakota","642658","231761","38"
"2","Tennessee","5221475","2049174","44.8"
"2","Texas","21356906","7411485","37.3"
"2","Utah","2281207","765977","36.3"
"2","Vermont","485485","204229","45.3"
"2","Virginia","6472737","2845091","47.3"
"2","Washington","5890357","2467021","44.9"
"2","West Virginia","1379576","554295","42.3"
"2","Wisconsin","4438719","1660639","40.4"
"2","Wyoming","433400","175411","42.9"
"1","Alabama","3717378","1206233","37.6"
"1","Alaska","524925","203137","42.6"
"1","Arizona","5597268","1818427","36.5"
"1","Arkansas","2246527","788832","41.3"
"1","California","29939021","10639086","39.5"
"1","Colorado","4454718","1759803","42.2"
"1","Connecticut","2732423","873081","36.2"
"1","Delaware","754637","243377","35.7"
"1","District of Columbia","542635","212434","42.7"
"1","Florida","17085385","6269359","41.3"
"1","Georgia","7955983","2809051","40.2"
"1","Hawaii","1073229","340013","34.7"
"1","Idaho","1343198","419870","33.4"
"1","Illinois","9546424","3103226","37.2"
"1","Indiana","5015550","1560400","34.2"
"1","Iowa","2342905","757580","35.1"
"1","Kansas","2140957","693203","35.3"
"1","Kentucky","3344102","1170971","38.5"
"1","Louisiana","3431432","1148100","38.1"
"1","Maine","1065620","401609","41.1"
"1","Maryland","4586920","1833528","44.9"
"1","Massachusetts","5324065","1851645","38.7"
"1","Michigan","7644458","2708754","39.6"
"1","Minnesota","4241624","1627375","41.6"
"1","Mississippi","2189670","623598","33"
"1","Missouri","4617880","1614177","38.5"
"1","Montana","822204","304322","40.2"
"1","Nebraska","1418191","469750","35.9"
"1","Nevada","2399457","912002","41.5"
"1","New Hampshire","1073014","369968","37.8"
"1","New Jersey","6776822","2251839","37.9"
"1","New Mexico","1589574","576774","40.2"
"1","New York","14847080","5351534","40.6"
"1","North Carolina","8017566","2478494","34.6"
"1","North Dakota","561016","152657","30.4"
"1","Ohio","8822539","3017540","37.9"
"1","Oklahoma","2916436","1046209","39.8"
"1","Oregon","3302727","1282553","42"
"1","Pennsylvania","9776154","3353318","38.2"
"1","Rhode Island","817559","287580","39.3"
"1","South Carolina","3969123","1308977","38.6"
"1","South Dakota","642658","232536","40.6"
"1","Tennessee","5221475","1856262","38.7"
"1","Texas","21356906","6555052","34.5"
"1","Utah","2281207","840552","40.4"
"1","Vermont","485485","201046","44.1"
"1","Virginia","6472737","2453743","42.5"
"1","Washington","5890357","2312491","43.1"
"1","West Virginia","1379576","482581","38.9"
"1","Wisconsin","4438719","1541634","38.7"
"1","Wyoming","433400","132781","33"
