"Week","State","Total Individual Population age 18+","Total Housing Insecurity","Housing Insecurity Percent"
"2","Alabama","3717378","710851","27.7"
"2","Alaska","524925","67029","17.8"
"2","Arizona","5597268","908235","21.5"
"2","Arkansas","2246527","334752","23.3"
"2","California","29939021","6174279","27.9"
"2","Colorado","4454718","645211","18.4"
"2","Connecticut","2732423","408313","20.5"
"2","Delaware","754637","121386","22.9"
"2","District of Columbia","542635","87939","20.8"
"2","Florida","17085385","3356820","28.1"
"2","Georgia","7955983","1286863","23.5"
"2","Hawaii","1073229","256249","32.4"
"2","Idaho","1343198","148464","16"
"2","Illinois","9546424","2209403","32.6"
"2","Indiana","5015550","742017","20.9"
"2","Iowa","2342905","295517","19"
"2","Kansas","2140957","296524","22"
"2","Kentucky","3344102","590590","25"
"2","Louisiana","3431432","629721","32.5"
"2","Maine","1065620","126269","20.2"
"2","Maryland","4586920","983476","30.2"
"2","Massachusetts","5324065","672640","17.4"
"2","Michigan","7644458","814515","16.1"
"2","Minnesota","4241624","455680","15.7"
"2","Mississippi","2189670","571903","45.2"
"2","Missouri","4617880","649515","19.5"
"2","Montana","822204","74402","14.2"
"2","Nebraska","1418191","171086","17.3"
"2","Nevada","2399457","434646","26.2"
"2","New Hampshire","1073014","105393","14"
"2","New Jersey","6776822","1451550","31.8"
"2","New Mexico","1589574","143844","13.7"
"2","New York","14847080","2743355","26.9"
"2","North Carolina","8017566","1366740","25.2"
"2","North Dakota","561016","66489","16.7"
"2","Ohio","8822539","1334156","21.2"
"2","Oklahoma","2916436","736107","36.2"
"2","Oregon","3302727","490500","20.6"
"2","Pennsylvania","9776154","1466470","21.3"
"2","Rhode Island","817559","130865","23.2"
"2","South Carolina","3969123","821255","28.6"
"2","South Dakota","642658","93695","20.3"
"2","Tennessee","5221475","755797","21"
"2","Texas","21356906","4617179","31.4"
"2","Utah","2281207","270305","15.4"
"2","Vermont","485485","23486","7"
"2","Virginia","6472737","997607","19.6"
"2","Washington","5890357","667516","16.1"
"2","West Virginia","1379576","182000","23.8"
"2","Wisconsin","4438719","447609","14.7"
"2","Wyoming","433400","46280","15.3"
"1","Alabama","3717378","628171","25.2"
"1","Alaska","524925","72375","20.1"
"1","Arizona","5597268","871657","22.5"
"1","Arkansas","2246527","382422","26.9"
"1","California","29939021","5781734","25.9"
"1","Colorado","4454718","530297","15.4"
"1","Connecticut","2732423","494058","25.3"
"1","Delaware","754637","113262","21.4"
"1","District of Columbia","542635","84267","19.7"
"1","Florida","17085385","3192804","27.9"
"1","Georgia","7955983","1683164","30.2"
"1","Hawaii","1073229","228761","29.4"
"1","Idaho","1343198","181819","18.5"
"1","Illinois","9546424","1887479","29.8"
"1","Indiana","5015550","726356","21.2"
"1","Iowa","2342905","319280","20.7"
"1","Kansas","2140957","320961","22.7"
"1","Kentucky","3344102","501298","23.2"
"1","Louisiana","3431432","746091","34.7"
"1","Maine","1065620","110629","16.5"
"1","Maryland","4586920","965988","29.6"
"1","Massachusetts","5324065","756199","19.9"
"1","Michigan","7644458","896464","18"
"1","Minnesota","4241624","481061","15.9"
"1","Mississippi","2189670","432814","34"
"1","Missouri","4617880","646699","19.7"
"1","Montana","822204","79571","14.3"
"1","Nebraska","1418191","168286","16.5"
"1","Nevada","2399457","441156","24.3"
"1","New Hampshire","1073014","97852","13.4"
"1","New Jersey","6776822","1233751","26.3"
"1","New Mexico","1589574","212960","20.8"
"1","New York","14847080","3419958","33.1"
"1","North Carolina","8017566","1082881","19.7"
"1","North Dakota","561016","42053","11.5"
"1","Ohio","8822539","1354185","21.7"
"1","Oklahoma","2916436","465198","24.8"
"1","Oregon","3302727","482969","20.4"
"1","Pennsylvania","9776154","1474134","22.9"
"1","Rhode Island","817559","122654","20.7"
"1","South Carolina","3969123","673814","27.2"
"1","South Dakota","642658","50983","13.1"
"1","Tennessee","5221475","775813","21"
"1","Texas","21356906","4599487","32.1"
"1","Utah","2281207","259733","14.9"
"1","Vermont","485485","57974","17"
"1","Virginia","6472737","820378","17.6"
"1","Washington","5890357","685388","16"
"1","West Virginia","1379576","157125","21.8"
"1","Wisconsin","4438719","456846","15.2"
"1","Wyoming","433400","63905","21.7"
