"Week","State","Total Individual Population age 18+","Total Loss in Employment Income","Loss in Employment Income Percent"
"2","Alabama","3717378","1648851","44.4"
"2","Alaska","524925","239409","45.6"
"2","Arizona","5597268","2383738","42.7"
"2","Arkansas","2246527","866958","39"
"2","California","29939021","16264632","54.5"
"2","Colorado","4454718","2214259","49.8"
"2","Connecticut","2732423","1261318","46.2"
"2","Delaware","754637","344999","45.8"
"2","District of Columbia","542635","180436","33.3"
"2","Florida","17085385","7943162","46.5"
"2","Georgia","7955983","3605689","45.4"
"2","Hawaii","1073229","632785","59.2"
"2","Idaho","1343198","503700","37.5"
"2","Illinois","9546424","4369656","46.3"
"2","Indiana","5015550","2047540","41"
"2","Iowa","2342905","914389","39.1"
"2","Kansas","2140957","751894","35.2"
"2","Kentucky","3344102","1563948","46.9"
"2","Louisiana","3431432","1908008","55.7"
"2","Maine","1065620","472828","44.4"
"2","Maryland","4586920","1852075","40.8"
"2","Massachusetts","5324065","2465408","46.9"
"2","Michigan","7644458","4215893","55.2"
"2","Minnesota","4241624","1716789","40.6"
"2","Mississippi","2189670","995590","45.5"
"2","Missouri","4617880","1972213","42.8"
"2","Montana","822204","314065","38.4"
"2","Nebraska","1418191","563415","39.8"
"2","Nevada","2399457","1336837","55.8"
"2","New Hampshire","1073014","479252","44.8"
"2","New Jersey","6776822","3831063","56.6"
"2","New Mexico","1589574","670980","42.4"
"2","New York","14847080","7832513","53"
"2","North Carolina","8017566","3558562","44.5"
"2","North Dakota","561016","257984","46.1"
"2","Ohio","8822539","3777700","42.9"
"2","Oklahoma","2916436","1386735","47.6"
"2","Oregon","3302727","1707408","51.7"
"2","Pennsylvania","9776154","4860890","49.8"
"2","Rhode Island","817559","369923","45.4"
"2","South Carolina","3969123","1807346","45.6"
"2","South Dakota","642658","256371","39.9"
"2","Tennessee","5221475","2437773","47.1"
"2","Texas","21356906","9720355","45.7"
"2","Utah","2281207","1005934","44.4"
"2","Vermont","485485","206192","42.6"
"2","Virginia","6472737","3082330","47.7"
"2","Washington","5890357","2610017","44.4"
"2","West Virginia","1379576","544834","39.5"
"2","Wisconsin","4438719","1812821","40.9"
"2","Wyoming","433400","146523","34"
"1","Alabama","3717378","1594821","43"
"1","Alaska","524925","214429","41"
"1","Arizona","5597268","2339734","42.2"
"1","Arkansas","2246527","859752","38.4"
"1","California","29939021","15956140","53.6"
"1","Colorado","4454718","1986916","44.8"
"1","Connecticut","2732423","1287224","47.3"
"1","Delaware","754637","338385","45"
"1","District of Columbia","542635","206556","38.1"
"1","Florida","17085385","8403866","49.3"
"1","Georgia","7955983","3905288","49.4"
"1","Hawaii","1073229","587427","55.1"
"1","Idaho","1343198","492928","36.9"
"1","Illinois","9546424","4171904","43.9"
"1","Indiana","5015550","2347088","47.1"
"1","Iowa","2342905","823770","35.2"
"1","Kansas","2140957","750885","35.2"
"1","Kentucky","3344102","1585361","47.5"
"1","Louisiana","3431432","1730458","50.9"
"1","Maine","1065620","426898","40.3"
"1","Maryland","4586920","2070773","45.6"
"1","Massachusetts","5324065","2598870","49.1"
"1","Michigan","7644458","4149565","54.4"
"1","Minnesota","4241624","1678030","39.8"
"1","Mississippi","2189670","989039","45.2"
"1","Missouri","4617880","2023156","44.1"
"1","Montana","822204","332069","40.7"
"1","Nebraska","1418191","542141","38.4"
"1","Nevada","2399457","1394121","58.3"
"1","New Hampshire","1073014","475720","44.8"
"1","New Jersey","6776822","3638322","53.9"
"1","New Mexico","1589574","767557","48.5"
"1","New York","14847080","7445583","50.6"
"1","North Carolina","8017566","3382628","42.3"
"1","North Dakota","561016","214683","38.9"
"1","Ohio","8822539","3871304","44.2"
"1","Oklahoma","2916436","1168649","40.1"
"1","Oregon","3302727","1523728","46.3"
"1","Pennsylvania","9776154","4542523","46.9"
"1","Rhode Island","817559","380279","46.9"
"1","South Carolina","3969123","1818762","46"
"1","South Dakota","642658","233742","36.5"
"1","Tennessee","5221475","2293982","44"
"1","Texas","21356906","10094800","47.7"
"1","Utah","2281207","907360","39.9"
"1","Vermont","485485","254553","52.6"
"1","Virginia","6472737","2410981","37.6"
"1","Washington","5890357","2687150","46"
"1","West Virginia","1379576","522453","37.9"
"1","Wisconsin","4438719","1839669","41.8"
"1","Wyoming","433400","166436","38.4"
